Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
LGE,G Pad 5 10.1 FHD,tf10,3701MB,Tablet,Qualcomm MSM8996Pro,1200x1920,240,arm64-v8a;armeabi-v7a;armeabi,28,3.2
LGE,G Pad 5 10.1 FHD,tf10w,3701MB,Tablet,Qualcomm MSM8996Pro,1200x1920,240,arm64-v8a;armeabi-v7a;armeabi,28,3.2
LGE,V50 ThinQ,flashlm,5435MB,Phone,Qualcomm SM8150,1080x2340,420,arm64-v8a;armeabi-v7a;armeabi,28,3.2
LGE,LG K30,mcv3,1846-2879MB,Phone,Mediatek MT6750,720x1280,320,armeabi-v7a;armeabi,25;27,3.2
LGE,LG K30,mh5lm-8m,1859MB,Phone,Qualcomm MSM8917,720x1440,280,armeabi-v7a;armeabi,28,3.0
LGE,V50S ThinQ,mh2lm,7434MB,Phone,Qualcomm SM8150,1080x2340,420,arm64-v8a;armeabi-v7a;armeabi,28,3.2
LGE,LG V50 ThinQ,flashlmdd,5433MB,Phone,Qualcomm SM8150,1080x2340,420,arm64-v8a;armeabi-v7a;armeabi,28,3.2
LGE,B6,b6,1886MB,Tablet,Qualcomm MSM8917,800x1280,213,armeabi-v7a;armeabi,24;27,3.0
LGE,V30,joan,3717-3723MB,Phone,Qualcomm MSM8998,1440x2678;1440x2880,640,arm64-v8a;armeabi-v7a;armeabi,25;26;28,3.2
LGE,LM-X525,mmh4p,2845MB,Phone,Mediatek MT6762,720x1520,280,armeabi-v7a;armeabi,28,3.2
LGE,LG X power2,lv7,1870-1888MB,Phone,Qualcomm MSM8917,720x1280,320,armeabi-v7a;armeabi,24;27,3.0
LGE,LG X charge,mlv7,1868-1877MB,Phone,Mediatek MT6750,720x1280,280;320,armeabi-v7a;armeabi,24;25;26,3.2
LGE,LG Tribute Empire,mcv1s,1850MB,Phone,Mediatek MT6750,720x1280,320,armeabi-v7a;armeabi,27,3.2
LGE,LG G5,h1,3786-3797MB,Phone,Qualcomm MSM8996,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.2
LIFE Digital,K3102_4G,K3102_4G,1796MB,Tablet,Spreadtrum SC9832E,800x1280,213,arm64-v8a;armeabi-v7a;armeabi,28,3.2
LINNEX,LI22,LI22,953MB,Phone,Mediatek MT6580,480x960,240,armeabi-v7a;armeabi,27,2.0
Linsay,LINSAY_F10XHD,LINSAY_F10XHD,974MB,Tablet,Allwinner A64,1024x600,160,arm64-v8a;armeabi-v7a;armeabi,27,2.0
LiteTEL,X15,X15,942MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,27,2.0
LiteTEL,X30,X30,957MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,27,2.0
Logic Mobility,T3G,T3G,904MB,Phone,Spreadtrum SC7731E,600x1024,213,armeabi-v7a;armeabi,27,3.2
Logic Mobility,T10B,T10B,974MB,Tablet,Mediatek MT8163,800x1280,160,armeabi-v7a;armeabi,27,3.1
Logic Mobility,LOGIC_L55S,LOGIC_L55S,1819MB,Phone,Spreadtrum SC9863A,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Logicom,Le Lift,LeLift,859MB,Phone,Mediatek MT6739WW,720x1440,320,armeabi-v7a;armeabi,27,3.2
Logicom,La_Tab_74,La_Tab_74,981MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,27,2.0
Logicom,La_Tab_114,La_Tab_114,981MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,27,2.0
Logicom,La tab 124,La_Tab_124_HD,981MB,Tablet,Rockchip RK3126C,800x1280,160,armeabi-v7a;armeabi,27,2.0
Logicom,Le Prime,Le_Prime,1819MB,Phone,Spreadtrum SC9863A,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Logicom,La Tab 107 HD,La_Tab_107,1996MB,Tablet,Rockchip RK3126C,800x1280,160,armeabi-v7a;armeabi,27,2.0
